"","Sample_ID","Layer","Tooth","dist_ERJ","d18O_carb","SD_carb","d18O_phos","SD_phos","carb_phos","pred_d18O_phos","PI_lwr","PI_upr","combined_phos"
"1","AXL59.0","III","AXL59",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AXL59.1","III","AXL59",1.86,24.22,0.14,NA,NA,NA,15.4,14.1,16.7,15.4
"3","AXL59.2","III","AXL59",4.51,23.78,0.14,14.7,0.2,9.08,14.9,13.6,16.2,14.7
"4","AXL59.3","III","AXL59",7.27,23.38,0.14,14.5,0.3,8.88,14.4,13.1,15.8,14.5
"5","AXL59.4","III","AXL59",10.14,23.96,0.14,14.8,0.3,9.16,15.1,13.8,16.4,14.8
"6","AXL59.5","III","AXL59",13,23.98,0.14,NA,NA,NA,15.1,13.8,16.4,15.1
"7","AXL59.6","III","AXL59",15.6,25.2,0.14,NA,NA,NA,16.5,15.2,17.8,16.5
"8","AXL59.7","III","AXL59",18.52,25.02,0.14,NA,NA,NA,16.3,15,17.6,16.3
"9","AXL59.8","III","AXL59",21.27,25.05,0.14,NA,NA,NA,16.3,15,17.6,16.3
"10","AXL59.9","III","AXL59",23.58,24.85,0.14,NA,NA,NA,16.1,14.8,17.4,16.1
"11","AXL59.10","III","AXL59",25.71,25.14,0.14,NA,NA,NA,16.4,15.1,17.7,16.4
"12","AXL59.11","III","AXL59",28.88,25.4,0.14,16.6,0.1,8.8,16.7,15.4,18,16.6
"13","AXL59.12","III","AXL59",31.13,25.52,0.14,16.5,0.1,9.02,16.8,15.5,18.2,16.5
"14","AXL59.13","III","AXL59",33.68,25.46,0.14,16.6,0.1,8.86,16.8,15.5,18.1,16.6
"15","AXL59.14","III","AXL59",36.22,25.16,0.14,NA,NA,NA,16.4,15.1,17.8,16.4
"16","AXL60.0","III","AXL60",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","AXL60.1","III","AXL60",4.79,24.34,0.14,NA,NA,NA,15.5,14.2,16.8,15.5
"18","AXL60.2","III","AXL60",7.06,24.41,0.14,15.3,0.4,9.11,15.6,14.3,16.9,15.3
"19","AXL60.3","III","AXL60",9.58,24.43,0.14,16.2,0.4,8.23,15.6,14.3,16.9,16.2
"20","AXL60.4","III","AXL60",11.92,24.34,0.14,16.9,0.2,7.44,15.5,14.2,16.8,16.9
"21","AXL60.5","III","AXL60",14.94,25.14,0.14,NA,NA,NA,16.4,15.1,17.7,16.4
"22","AXL60.6","III","AXL60",18.2,25.81,0.14,NA,NA,NA,17.2,15.9,18.5,17.2
"23","AXL60.7","III","AXL60",21.27,25.51,0.14,NA,NA,NA,16.8,15.5,18.2,16.8
"24","AXL60.8","III","AXL60",24.18,25.84,0.14,NA,NA,NA,17.2,15.9,18.5,17.2
"25","AXL60.9","III","AXL60",26.82,26.07,0.14,17.7,0.4,8.37,17.5,16.1,18.8,17.7
"26","AXL60.10","III","AXL60",29.97,26.16,0.14,17.4,0.1,8.76,17.6,16.2,18.9,17.4
"27","AXL60.11","III","AXL60",32.38,25.19,0.14,17.6,0.2,7.59,16.5,15.2,17.8,17.6
"28","AXL60.12","III","AXL60",35.34,25.63,0.14,NA,NA,NA,17,15.7,18.3,17
"29","AXL60.13","III","AXL60",38.33,25.53,0.14,NA,NA,NA,16.9,15.5,18.2,16.9
"30","AXL60.14","III","AXL60",41.01,25.09,0.14,NA,NA,NA,16.4,15,17.7,16.4
"31","AXL60.15","III","AXL60",44.34,24.62,0.14,NA,NA,NA,15.8,14.5,17.2,15.8
"32","AXL60.16","III","AXL60",46.88,25,0.14,15.9,0.4,9.1,16.3,14.9,17.6,15.9
"33","AXL60.17","III","AXL60",49.42,23.89,0.14,15.1,0.1,8.79,15,13.7,16.3,15.1
"34","AXL60.18","III","AXL60",51.94,24.44,0.14,15.4,0,9.04,15.6,14.3,17,15.4
"35","AXL65.0","III","AXL65",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","AXL65.1","III","AXL65",1.81,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","AXL65.2","III","AXL65",4.02,24.03,0.14,NA,NA,NA,15.2,13.8,16.5,15.2
"38","AXL65.3","III","AXL65",6.1,23.46,0.14,14,0.3,9.46,14.5,13.2,15.9,14
"39","AXL65.4","III","AXL65",8.93,23.82,0.14,14.2,0.4,9.62,14.9,13.6,16.3,14.2
"40","AXL65.5","III","AXL65",12.4,24.34,0.14,NA,NA,NA,15.5,14.2,16.8,15.5
"41","AXL65.6","III","AXL65",15.41,24.11,0.14,NA,NA,NA,15.3,13.9,16.6,15.3
"42","AXL65.7","III","AXL65",18.39,24.64,0.14,NA,NA,NA,15.9,14.5,17.2,15.9
"43","AXL65.8","III","AXL65",22.34,25.21,0.14,NA,NA,NA,16.5,15.2,17.8,16.5
"44","AXL65.9","III","AXL65",25.96,26.13,0.14,16.5,0.6,9.63,17.5,16.2,18.9,16.5
"45","AXL65.10","III","AXL65",28.77,25.61,0.14,17,0.6,8.61,16.9,15.6,18.3,17
"46","AXL65.11","III","AXL65",32.19,25.32,0.14,NA,NA,NA,16.6,15.3,17.9,16.6
"47","AXL65.12","III","AXL65",35.88,25.79,0.14,16.5,0.4,9.29,17.1,15.8,18.5,16.5
"48","AXL65.13","III","AXL65",38.77,24.78,0.14,NA,NA,NA,16,14.7,17.3,16
"49","AXL65.14","III","AXL65",42.11,24.36,0.14,NA,NA,NA,15.5,14.2,16.9,15.5
"50","AXL66.0","III","AXL66",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"51","AXL66.1","III","AXL66",2.44,25.37,0.14,NA,NA,NA,16.7,15.4,18,16.7
"52","AXL66.2","III","AXL66",4.62,25.15,0.14,15.8,0.1,9.35,16.4,15.1,17.7,15.8
"53","AXL66.3","III","AXL66",6.86,24.61,0.14,15.6,0.6,9.01,15.8,14.5,17.1,15.6
"54","AXL66.4","III","AXL66",8.88,25.18,0.14,15.6,0.4,9.58,16.5,15.1,17.8,15.6
"55","AXL66.5","III","AXL66",10.92,25.87,0.14,NA,NA,NA,17.2,15.9,18.6,17.2
"56","AXL66.6","III","AXL66",13.42,26.56,0.14,NA,NA,NA,18,16.7,19.4,18
"57","AXL66.7","III","AXL66",15.5,25.73,0.14,NA,NA,NA,17.1,15.8,18.4,17.1
"58","AXL66.8","III","AXL66",17.15,26.46,0.14,NA,NA,NA,17.9,16.6,19.2,17.9
"59","AXL66.9","III","AXL66",19.61,26.49,0.14,18.4,0.1,8.09,17.9,16.6,19.3,18.4
"60","AXL66.10","III","AXL66",22.04,27.01,0.14,18.5,0.3,8.51,18.5,17.2,19.9,18.5
"61","AXL66.11","III","AXL66",24.07,26.88,0.14,19.1,0.4,7.78,18.4,17,19.7,19.1
"62","AXL66.12","III","AXL66",26.36,26.62,0.14,NA,NA,NA,18.1,16.7,19.4,18.1
"63","AXL66.13","III","AXL66",29.13,26.49,0.14,NA,NA,NA,17.9,16.6,19.3,17.9
"64","AXL66.14","III","AXL66",31.82,26.35,0.14,NA,NA,NA,17.8,16.4,19.1,17.8
"65","AXL66.15","III","AXL66",34.44,25.81,0.14,NA,NA,NA,17.2,15.9,18.5,17.2
"66","AXL66.16","III","AXL66",36.23,24.74,0.14,16.8,0.4,7.94,16,14.7,17.3,16.8
"67","AXL70.0","IV","AXL70",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"68","AXL70.1","IV","AXL70",2.56,24.69,0.14,NA,NA,NA,15.9,14.6,17.2,15.9
"69","AXL70.2","IV","AXL70",5.41,24.16,0.14,NA,NA,NA,15.3,14,16.6,15.3
"70","AXL70.3","IV","AXL70",7.46,23.37,0.14,15,0.3,8.37,14.4,13.1,15.8,15
"71","AXL70.4","IV","AXL70",9.86,23.75,0.14,15.1,0.1,8.65,14.9,13.5,16.2,15.1
"72","AXL70.5","IV","AXL70",12.08,25.06,0.14,NA,NA,NA,16.3,15,17.6,16.3
"73","AXL70.6","IV","AXL70",14.71,26.34,0.14,NA,NA,NA,17.8,16.4,19.1,17.8
"74","AXL70.7","IV","AXL70",17.66,26.61,0.14,NA,NA,NA,18.1,16.7,19.4,18.1
"75","AXL70.8","IV","AXL70",20.52,26.88,0.14,19.3,0.3,7.58,18.4,17,19.7,19.3
"76","AXL70.9","IV","AXL70",23.18,26.87,0.14,19,0.1,7.87,18.4,17,19.7,19
"77","AXL70.10","IV","AXL70",25.99,26.03,0.14,NA,NA,NA,17.4,16.1,18.7,17.4
"78","AXL70.11","IV","AXL70",29.19,26.4,0.14,NA,NA,NA,17.8,16.5,19.2,17.8
"79","AXL70.12","IV","AXL70",31.6,25.65,0.14,NA,NA,NA,17,15.7,18.3,17
"80","AXL77.0","VI","AXL77",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"81","AXL77.1","VI","AXL77",1.71,25.36,0.14,16.6,0.2,8.76,16.7,15.4,18,16.6
"82","AXL77.2","VI","AXL77",4.25,24.67,0.14,NA,NA,NA,15.9,14.6,17.2,15.9
"83","AXL77.3","VI","AXL77",6.64,23.93,0.14,NA,NA,NA,15.1,13.7,16.4,15.1
"84","AXL77.4","VI","AXL77",9.36,23.12,0.14,13.8,0.2,9.32,14.2,12.8,15.5,13.8
"85","AXL77.5","VI","AXL77",11.03,23.29,0.14,13.9,0.1,9.39,14.3,13,15.7,13.9
"86","AXL77.6","VI","AXL77",13.63,22.78,0.14,14.2,0.1,8.58,13.8,12.4,15.1,14.2
"87","AXL77.7","VI","AXL77",15.56,24.39,0.14,NA,NA,NA,15.6,14.3,16.9,15.6
"88","AXL77.8","VI","AXL77",17.98,25.58,0.14,16,0.3,9.58,16.9,15.6,18.2,16
"89","AXL77.9","VI","AXL77",20.79,25.72,0.14,16.5,0.1,9.22,17.1,15.8,18.4,16.5
"90","AXL77.10","VI","AXL77",24.2,25.42,0.14,16.7,0.4,8.72,16.7,15.4,18.1,16.7
"91","AXL77.11","VI","AXL77",26.56,24.44,0.14,NA,NA,NA,15.6,14.3,17,15.6
"92","AXL77.12","VI","AXL77",28.79,24.95,0.14,NA,NA,NA,16.2,14.9,17.5,16.2
"93","AXL77.13","VI","AXL77",31.18,24.71,0.14,NA,NA,NA,15.9,14.6,17.3,15.9
"94","AXL77.14","VI","AXL77",34.47,24.82,0.14,NA,NA,NA,16.1,14.7,17.4,16.1
"95","AXL86.0","VI","AXL86",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"96","AXL86.1","VI","AXL86",1.87,24.76,0.14,NA,NA,NA,16,14.7,17.3,16
"97","AXL86.2","VI","AXL86",4.87,25,0.14,15.8,0.2,9.2,16.3,14.9,17.6,15.8
"98","AXL86.3","VI","AXL86",7.21,24.24,0.14,16,0.2,8.24,15.4,14.1,16.7,16
"99","AXL86.4","VI","AXL86",10.98,25.72,0.14,NA,NA,NA,17.1,15.8,18.4,17.1
"100","AXL86.5","VI","AXL86",13.27,25.86,0.14,17.9,0.2,7.96,17.2,15.9,18.5,17.9
"101","AXL86.6","VI","AXL86",16.26,26.55,0.14,18.4,0.3,8.15,18,16.7,19.3,18.4
"102","AXL86.7","VI","AXL86",18.66,25.97,0.14,18.4,0.2,7.57,17.4,16,18.7,18.4
"103","AXL86.8","VI","AXL86",21.21,26.03,0.14,NA,NA,NA,17.4,16.1,18.7,17.4
"104","AXL86.9","VI","AXL86",23.82,25.44,0.14,NA,NA,NA,16.8,15.4,18.1,16.8
"105","AXL86.10","VI","AXL86",26.65,25.31,0.14,NA,NA,NA,16.6,15.3,17.9,16.6
"106","AXL86.11","VI","AXL86",29.16,25.18,0.14,NA,NA,NA,16.5,15.1,17.8,16.5
"107","AXL86.12","VI","AXL86",31.83,24.61,0.14,16.3,0.2,8.31,15.8,14.5,17.1,16.3
"108","AXL86.13","VI","AXL86",33.9,24.88,0.14,16.2,0.5,8.68,16.1,14.8,17.4,16.2
"109","AXL86.14","VI","AXL86",36.77,24.78,0.14,16.1,0.3,8.68,16,14.7,17.3,16.1
"110","AXL86.15","VI","AXL86",40.18,24.97,0.14,NA,NA,NA,16.2,14.9,17.5,16.2
"111","AXL86.16","VI","AXL86",43.06,25.44,0.14,NA,NA,NA,16.8,15.4,18.1,16.8
"112","AXL86.17","VI","AXL86",45.65,25.19,0.14,NA,NA,NA,16.5,15.2,17.8,16.5
"113","AXL86.18","VI","AXL86",47.79,26.96,0.14,16.5,0.2,10.46,18.5,17.1,19.8,16.5
