Taxon,Sample type,Age,d18O_carb_VSMOW,d18O_phos,carb_phos,Reference
Hippopotamus amphibius,bulk enamel,modern,33.6,23.3,10.3,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,32.1,22.7,9.4,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,28.7,18.9,9.8,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,29.3,19.4,9.9,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,27,17,10,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,34,23.8,10.2,Zazzo et al. 2004 GCA 68
Hippopotamus amphibius,bulk enamel,modern,30.4,20.6,9.8,Zazzo et al. 2004 GCA 68
Gazella gazella,bulk enamel,modern,33.2,23.3,9.9,"Shahack-Gross et al. 1999, Geoarch 14"
Equus burchelli,bulk enamel,modern,29.92,20.76,9.2,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,29.53,20.39,9.1,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,30,21,9,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,29.71,20.35,9.4,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,29.26,19.85,9.4,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,29.84,21.28,8.6,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,32.45,23.07,9.4,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,32.12,23.69,8.4,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,32.19,23.2,9,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,33.06,24.88,8.2,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,32.08,23,9.1,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,32.5,22.87,9.6,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.57,10.56,9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.06,10.76,8.3,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,20.06,10.67,9.4,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,20.07,12.24,7.8,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.9,10.39,9.5,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.89,10.25,9.6,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.29,9.99,9.3,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.17,10.14,9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,17.83,9.28,8.6,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,19.91,12.46,7.5,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,20.21,12.09,8.1,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,18.61,10.7,7.9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,24.47,15.49,9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,22.55,13.39,9.2,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,24.16,15.31,8.9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,23.16,14.34,8.8,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,22.34,13.49,8.9,Bryant et al. 1996 GCA 60
Equus caballus,bulk enamel,modern,28.6,19.83,8.8,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,30.48,21.8,8.7,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,25.99,17.01,9,Bryant et al. 1996 GCA 60
Equus burchelli,bulk enamel,modern,34.54,25.41,9.1,Bryant et al. 1996 GCA 60
Rangifer tarandus,bulk enamel,modern,13.2,4.8,8.4,Iacumin et al. 1996 EPSL 142
Ursus americanus,bulk enamel,modern,22.8,13.9,8.9,Iacumin et al. 1996 EPSL 142
Canis lupus,bulk enamel,modern,15.9,5.3,10.6,Iacumin et al. 1996 EPSL 142
Rangifer tarandus,bulk enamel,modern,19.7,12.2,7.5,Iacumin et al. 1996 EPSL 142
Bos taurus,bulk enamel,modern,24.4,15.7,8.7,Iacumin et al. 1996 EPSL 142
Alcephalus major,bulk enamel,modern,30.1,21.4,8.7,Iacumin et al. 1996 EPSL 142
Camelus dromedarius,bulk enamel,modern,33.2,23,10.2,Iacumin et al. 1996 EPSL 142
Syncerus caffer,bulk enamel,modern,31.4,22.8,8.6,Iacumin et al. 1996 EPSL 142
Kobus sp,bulk enamel,modern,32.7,23.8,8.9,Iacumin et al. 1996 EPSL 142
Ichneumon albicauda,bulk enamel,modern,35.4,25.4,10,Iacumin et al. 1996 EPSL 142
Dama dama,bulk enamel,modern,27.8,19.7,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.8,17.3,8.5,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.1,17.7,8.4,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,20.5,11.9,8.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,21.7,15.4,6.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,20.2,10.9,9.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,21,12.6,8.4,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,20.5,13.8,6.7,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,23.6,15.5,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,28.6,21.7,6.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,27.8,18.5,9.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,27.1,20.8,6.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.4,17.8,8.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.6,18.6,8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,28.4,19.6,8.8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.6,17.8,8.8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,23.6,14.6,9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.1,16.2,8.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,20.9,14,6.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,21.8,14.1,7.7,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,22.3,13.6,8.7,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.8,18.9,7.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,27.4,19.1,8.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,24.2,18.3,5.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.7,17.3,8.4,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.1,17.5,8.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.7,17.6,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,23.3,14.5,8.8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,24.9,16.5,8.4,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,22,12.8,9.2,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,27.7,18.8,8.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,28,19.5,8.5,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,27.7,20.5,7.2,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,24.2,15.9,8.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.7,16.2,9.5,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,23.5,15.2,8.3,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.9,17.3,8.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,24.9,16.1,8.8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.2,17.1,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,23.4,16.8,6.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.1,16.6,8.5,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25,16.9,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.9,17.9,9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.4,17,8.4,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.2,18.1,8.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.8,18.2,7.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,28,19.1,8.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.1,16.5,8.6,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26,18,8,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26,16.9,9.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.6,16.7,8.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.4,16.9,9.5,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,25.6,16.7,8.9,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.5,17.4,9.1,Miller et al. 2018 RCMS 33
Dama dama,bulk enamel,modern,26.1,17,9.1,Miller et al. 2018 RCMS 33
