X,totallength,dMeasd,trial1,trial2,trial3,trial4,trial5,trial6,trial7,trial8,trial9,trial10,trial11,trial12,trial13,trial14,trial15,trial16,trial17,trial18,trial19,trial20,trial21,trial22,trial23,trial24,trial25,trial26,trial27,trial28,trial29,trial30,trial31,trial32,trial33,trial34,trial35,trial36,trial37,trial38,trial39,trial40,trial41,trial42,trial43,trial44,trial45,trial46,trial47,trial48,trial49,trial50,trial51,trial52,trial53,trial54,trial55,trial56,trial57,trial58,trial59,trial60,trial61,trial62,trial63,trial64,trial65,trial66,trial67,trial68,trial69,trial70,trial71,trial72,trial73,trial74,trial75,trial76,trial77,trial78,trial79,trial80,trial81,trial82,trial83,trial84,trial85,trial86,trial87,trial88,trial89,trial90,trial91,trial92,trial93,trial94,trial95,trial96,trial97,trial98,trial99,trial100,ci_length,lower_CI,upper_CI,mean,tooth,Layer
l1,23,16.9723275755461,16.441770611104,16.6902776813225,16.9801146691509,16.0088632210725,16.5136957225022,16.1196970526233,16.4827149344082,16.6240779051155,15.9586657741676,16.5067912903178,15.5061230412289,16.0942951049481,15.8577524788556,16.2564931515416,17.2370005630052,16.4629626708888,17.1028610100597,16.9914567422544,16.4156069686317,16.8201132411563,17.1621731548333,16.6025384883413,17.3445042048282,16.5489932737894,16.571150448664,16.224321525688,15.9502690548136,16.5628491241596,16.3852381555702,15.5091972130208,15.7461922965967,15.4127511218993,15.7154506689443,15.2428839470748,16.8804948654553,16.5910112520576,16.9746615998758,16.7152962586615,16.8654101525985,16.0421828220846,16.6748798447449,15.9955853254112,15.6897851325829,16.0696488095399,16.5204108864977,16.9932062383119,15.7001133911129,16.093873675298,16.5217234839398,16.0800887211257,16.2472676593072,16.2501456995032,15.8965687930974,17.2329911411409,16.2449454428973,16.3150286559538,16.8067238370575,16.2519612875052,17.1058203557703,17.3558864906232,15.6426223467464,15.6042316078096,17.0223692126078,15.3896726422653,16.9827180841057,16.9966143457632,15.2226386488758,17.1010009830786,15.4746558102789,16.440773156042,16.2952484111059,15.9556473213182,15.8329899260741,17.2016647867897,17.1018158058928,15.4746436370223,16.8513747157606,15.9479883913972,16.7465939096195,16.9811422226734,15.9539309750075,16.2923189839563,16.1986821751888,16.0602950760116,16.0241172680857,16.2306190353978,15.6598897077493,16.6498167349016,15.3405226664319,16.2816443547044,16.9131170298161,15.9788486324352,16.8763498620002,15.7606514984848,15.3871657164668,16.9943500861635,17.0862910109894,15.6821949382913,17.0265274023624,16.3301757839563,2.3,15.3638441914494,17.234995852073,16.3577406021179,AXL66,III
l2,44,16.9723275755461,16.5635041811665,18.4862683309693,18.2661149678932,18.5854126356868,16.0058961355439,17.775923111034,17.6931919190001,17.7494208469023,17.1201527340805,17.9851602173072,17.0503882724467,16.4332236972451,17.0286413381665,17.3017321066142,18.3408556588303,18.0469091610177,17.1676769957577,18.1524471282116,17.4020716213524,18.1710411608948,17.8281594278279,18.5337931206435,17.5038869438453,17.4403523932755,17.5487880411874,18.4696135506719,17.5503411134157,18.3867358538512,15.7887941484919,16.8665796293385,17.0836308310687,18.7004901690079,18.3715529727399,17.8096866765535,17.543945649897,17.9392600438323,17.9785098074624,17.820092149552,17.3391120048609,17.1223064871178,16.964240943034,17.9448569890969,16.3762549122245,18.6083061550208,18.2528889029078,18.7263663909172,17.8822149137863,19.4265728960543,19.3988273397875,17.5826316967555,16.9500819410355,17.1845910203503,17.8599922023174,17.5625208543349,17.3796658729677,17.6576880918915,17.9412919012072,16.9365703650968,17.2045550218106,18.6338036719296,16.6285117087721,17.045029666367,18.1045114129601,16.1315555249276,16.8646302263746,17.5441670403727,17.2663523224098,18.0028054968651,16.6167222058826,17.225854073532,16.7846161984481,17.5395363137733,17.5553875173105,18.1671681461611,18.2977399842504,17.1454499341176,17.3942722365387,16.7046423854274,19.0585002288959,16.9982376386818,17.6504912806843,18.4565314231916,17.1898304840937,18.3784082108068,17.6558641454432,18.3337267596574,19.1916600941095,19.2876334129724,17.8421878635709,17.4664548922095,18.5606179594568,18.4995883531904,19.4219632252317,18.4574833944675,18.5518372523267,19.7892334752363,18.8335648208173,18.1884963399827,19.514584860646,19.0467673994301,4.4,16.253905218576,19.424268060643,17.7801042455686,AXL66,III
l3,83,16.2564957868955,13.4980787995666,14.6461836390007,12.9536553843733,14.5624722453231,14.3620693913598,14.5736801619768,14.2890835971194,14.8445563700524,14.1118464071302,14.8060030958273,13.6387927171136,14.4772007718219,13.1856136077636,13.717232578835,12.3586940901685,12.320828927063,12.7528941546405,12.6851019473044,14.6143723409426,13.6073382741157,14.5415346709861,13.7383407218211,13.4657900188964,13.1291852608375,11.3305277772503,13.359696277359,14.2475606705199,14.8436995013166,14.258044242614,15.6676139956018,15.1265433516845,14.008189144424,12.433395155722,13.1459059321031,14.6377376944123,14.1267711469449,13.3293619391862,14.8922323596405,14.3412129011525,12.5405647187809,14.5966467723311,13.1707801893479,14.3375448253963,14.2507644720261,15.0680476943898,14.1254068277333,14.9765398253421,14.2577939815693,13.1422344865196,13.8028265056785,13.9159905045659,13.6558928173464,14.0767752807297,13.3837578338586,14.1515642027666,15.4565180533754,12.8080811826759,13.5837212000427,15.3416642957395,12.7004441444,13.903781205806,14.1138810448968,12.9965068337845,13.0656054349502,13.6036456295789,13.4461441785727,13.1295477175846,14.1753981238786,12.9435111145122,12.724223698892,12.6170035502506,13.4372338978894,14.1256315359383,13.8424341625049,14.0792844683759,14.0385010881561,13.697632689589,14.5697278177484,12.6588559961935,14.3882679374433,13.5602992875845,14.1187860005364,14.1379493197381,13.5802933301579,13.5871440615096,13.3961475784622,13.7867132725452,14.7459381101261,13.5153331598847,14.9540363567364,14.4927710293409,12.8040893569228,12.3041362213883,13.3803324451469,13.860254980094,13.6865341435937,13.6201251471669,14.3765147946638,13.5528105300992,15.075388513928,8.3,12.3397615086157,15.3990911745575,13.8447674517985,AXL66,III
l4,85,15.8993841695038,12.3908495059952,12.6158292608116,13.4846999634597,12.7444881961864,13.5846910021984,12.6265235791318,14.0515197334198,12.5568380718697,13.0192409389827,13.402515467459,12.1628404211207,11.3075515788111,10.4343164471202,10.8837236068133,11.1479754417694,11.3854399573526,12.0485450735058,13.0373198045795,13.5577524899795,12.9116636401503,10.8470568618031,11.9131944718159,14.3902084420967,12.9653470443916,11.0262066660815,12.2203250336822,13.192791249308,13.8888411341952,14.4201041522487,12.1146447681045,12.7270185548445,12.7993950001727,12.0859053171232,15.0141343077723,12.0071326211668,13.2468210981479,12.2436233720724,12.5477097806703,11.9486410908238,13.1194320329913,12.7605346275042,11.0284046669406,13.8587553606372,12.335070760552,11.95521888892,10.8340577356063,12.8432859335257,13.8838576709121,11.5911299477385,11.6049035875245,10.7556621334844,12.3206557665047,13.3772937335211,11.1424803544475,11.0360411115276,11.322185753591,12.1438325970359,10.631218444295,11.0589417471077,11.2743562817678,10.9787150031399,11.0353477762832,12.3119792037546,11.135845921376,12.8582696421858,11.2758748968015,9.48911426118615,12.4088529930114,11.3918525689019,11.883005205873,12.3421696959666,12.1658017401666,13.7357277327451,13.8329808398784,10.2550377373507,10.6495760426525,11.2740462524833,12.5211330356017,10.1231222695165,11.9205785422383,12.318654999316,13.5181052181294,12.2893314800036,14.2617921924908,14.5502937997137,13.3865980438991,15.0456719932503,13.7866731109205,14.0965863428264,14.9584357991413,14.9778428883269,14.0794845617904,13.958535390249,14.8474959940664,13.3974565272817,13.5868679164218,15.0950195150699,14.9190878043695,15.5572823816804,14.4564232618938,8.5,10.3446770922354,15.0703457541601,12.6178890993548,AXL66,III
l5,113,15.4817983728686,12.6799232194774,11.7957650172716,11.7270201789808,9.9492289318664,10.4378293676824,11.6760769201406,11.0930561092709,10.8934087486724,10.6435545074222,11.0051620003982,12.6135107365991,13.2787139480918,12.9351980958141,12.2806386407257,9.31456880235354,11.3491951273349,12.2363923055111,11.366951132861,11.7650751458851,12.1001526912389,11.6933256183283,12.635381510336,12.0810666879936,11.7247600523944,12.0280056607743,12.8382833981656,12.2738965335478,11.0139293851856,13.0042598242699,14.1371182421534,11.802886493057,10.6431915931889,12.2484251775933,10.8630410712499,11.9716281182592,11.6165950017098,12.7155071992239,12.8799221571456,11.4772805284824,12.7614501276247,11.8952152387385,12.2226784029527,11.6819018274932,11.5502435288253,12.789272291707,13.1373446197208,12.8576014174692,12.425153522988,14.0327906844986,15.2483502023053,12.6352952562778,12.9746068338549,11.1862074539926,13.3589846141106,12.0289198659824,12.1216551200755,13.367448659373,13.0547358046894,14.0125031279497,13.0133188569733,13.5125330753076,13.573241471435,11.2110745393486,12.0178371261001,11.7720528630259,11.1039313527408,12.0533559433083,11.7584250025795,11.6656243359036,12.997439317669,12.7819769496085,13.2556621626441,12.6148658564391,13.0120005755675,12.6934095746651,12.4414580070573,10.6295218480439,11.8990644640807,12.0734877391046,11.2737142497194,10.7988425470444,13.7629084840329,12.9894144535984,12.565312478489,11.6108287349361,10.4033599003567,10.6678059455278,12.1776309639984,11.644603981234,11.8005521065689,12.0532566807564,12.3227743355338,12.2834339830458,12.2868950310392,12.5475492793623,11.8244491530569,12.3257078861361,10.5524982989919,11.8353373772071,11.6502460583043,11.3,10.4205946340195,14.084954463326,12.1492226321257,AXL66,III
l6,150,17.0724400005605,15.1748511643522,14.7279754311631,14.1734891598026,15.948117256032,15.6270018662997,15.000048096347,15.6359573913435,15.4624893672649,15.3048223748143,15.7774925431454,15.1422265234474,15.2833962842023,16.4135286002464,14.1536191828752,15.5038193123048,13.5210194484908,15.9354730997915,14.2166119203679,14.213300792704,15.0172749602027,14.9842577638954,15.3899979041107,13.7552191218837,17.009140866987,17.3770127737474,16.2949616567813,14.7593656853957,15.7030237319493,16.1111228888572,15.6862902225682,15.0561958595478,16.6461805554957,16.6629127697748,15.5514144648904,15.6458008287917,16.2786400039557,16.0661345678809,16.2809161510247,16.708263553505,15.3570644793657,15.8493707067369,16.5485380991277,15.2196647027828,15.6934186549965,16.6139246019678,16.2446113276438,15.1250215126959,14.5221664497034,15.8265806168321,15.2703809720887,16.6372043326828,16.0571131732366,15.073849901696,15.582394473399,16.3284263635047,16.0916586597398,18.1742247417486,16.2858957250059,15.4249396976369,15.123974038847,15.7954297596818,15.6186841809605,16.3618549138834,14.4717180405346,16.064580850478,15.9175776540056,16.1697076933788,15.6635868520204,15.895651440082,16.2997710024297,16.102641848119,15.4310677635014,14.6878789942345,14.0881671053652,15.3039712198166,15.3496311141512,17.1574819720863,15.0200438272467,14.6538604667579,15.1013032643878,15.6699625383104,15.2008250890731,15.3341108329069,15.5232027791608,15.6198003846829,16.1880142208677,15.7111844220217,14.8253318357238,15.4997350937718,14.7482738156863,15.8914812986272,16.7139512798103,15.5852689186986,14.5882046049163,15.5759411716979,14.6398285717725,14.5592724118937,15.9358273668109,14.5112169930584,15.0440006440061,15,14.1208931441202,17.1149609863234,15.5726957783649,AXL66,III
l7,170,18.0424993264969,17.7699453877789,17.2904207467293,17.8967514502843,17.1067225112845,17.6174038553818,17.5965809725598,16.925570770458,17.3827479164171,17.7940749533605,15.8271993245929,15.617511991772,16.6106573433046,16.0353537286376,15.7900965545232,17.1882721968978,17.2827096556879,15.7350923861197,16.4968464952313,16.0878703265612,16.4447256103923,16.3002018305543,15.8146649797236,16.7333213067869,15.5988023477726,16.3544204676558,16.7622116510345,17.7458204094923,17.8422227222521,15.399193222867,17.2537564193486,15.9683164480369,18.7127961372443,16.9428938108745,17.0397409002919,16.1206572938973,16.8712758197114,16.094851998793,16.1836039719839,17.0887028744149,16.6641094192901,17.7621631352792,16.9289961052978,16.4890896909501,16.3297910002728,17.1964519964779,16.9186829371454,17.1917198635713,17.7568986396492,16.9433049698661,16.0112545102508,17.1749870615339,17.1445604645835,18.6447853286562,18.5533502452383,16.0531254022272,17.675451975765,16.9940403043356,18.4963492903188,15.947706014623,16.6072672141812,17.3957045306299,16.3984961887202,17.2188631981418,17.7727535667002,16.9086613081225,17.1898541541588,17.7652548687969,16.8094663507027,17.5807916991022,16.4029814797803,16.9862008877623,17.1792204179757,17.6038282082799,17.0093541230569,17.0899804800428,17.0548956307437,18.0924832545064,17.5452830606417,17.1728202118258,16.8316652262131,18.0545797964398,18.8315792545262,19.5158285397005,15.6659659495385,18.0462262637699,16.4007218899581,17.2065314006818,16.9093331990562,16.3337786291285,16.8681136892806,16.4380340036833,18.5162645773335,16.5418205387859,16.711238056176,17.0018650588486,18.0841108615439,18.0046638487185,16.4977472278879,18.3933381763771,17.9105451052749,17,15.6417389706553,18.6787907329503,17.057340976231,AXL66,III
l8,187,17.2701850661482,14.9701016049862,13.9866582049049,14.92726203491,14.8674334818406,13.4434859075813,13.948062859073,13.0681531019291,13.5289308546815,13.6221870242267,14.5921615227741,14.2063401137969,13.7630053330587,13.9881267543852,15.0936754198803,14.4186918942357,13.7123172056676,14.61363535494,14.1954849466951,13.3398434871077,12.6296383757353,14.6543869697256,13.0913871359481,14.6601580428052,13.4497429857871,15.5962006406689,14.7371102206494,13.8567779822176,14.5032047497274,14.4379544730875,11.1032634200731,14.3432474447595,13.7671302114626,14.2986691988832,14.0012305495107,14.3235755938613,12.7708486324302,13.925046537675,14.392929096575,12.9749585255424,12.0413597457922,12.5673195032263,13.21484415019,13.4373331634779,14.6945211998256,13.5406333441185,13.0505249855403,12.7590271370358,13.5138912125813,13.5926251627799,14.9471497255117,14.2134532887397,13.2281597109959,13.8048085910092,13.3389717249451,16.3158144490179,13.355921953333,12.9306850670378,14.0208941479479,13.6901282568964,13.4553285824937,13.5957327728877,13.6497690086691,12.9911015233674,12.3939866433996,14.3871499646732,14.3429149614789,13.134599722365,14.3098969486794,11.879385384479,14.3168066188878,13.7201847637553,12.6596483724349,12.3821277429383,13.3189371023314,14.5170375198619,14.2621709084296,13.9456984458755,14.4706612515508,13.8484121959176,13.257752803137,13.1985550094901,12.2840612484463,14.0131558184951,15.2184551863971,14.9849150947167,13.2329138093271,14.5710958312774,15.2841245510754,14.511794423838,13.3919909040064,14.542080963365,13.3283719357233,12.3480430680105,14.6411196776337,14.527829701279,14.1367595246164,13.3576927108254,13.6505944157378,14.4083171676521,14.8341787113344,18.7,12.1627104971193,15.4401625958722,13.8676893313942,AXL66,III
l9,227,17.9521073916811,15.5765147049653,16.267875953951,17.5097236736669,17.1051852992044,15.8799126197657,16.6736249301166,16.3828214686367,16.2989001557761,17.4238600882646,15.8042815556559,16.6746608625393,16.9080963874492,14.8592010174357,16.8531735702614,16.2408954201805,16.093695021511,15.7489755036132,15.9571117996011,15.2444099395616,16.4491932397266,17.0413503139134,17.3343700403235,15.367629540074,15.8236062018644,15.1160503135716,15.7834441034184,15.6173666293494,16.3113586181128,16.4589652414366,16.5518854247203,15.6664611974092,14.8341416861082,16.741454124826,16.7807294018233,16.5974167363061,15.9649750584065,17.2720795083357,14.9287346609086,16.2951743636852,15.8069914129055,16.5392020950881,14.8308342180261,16.0251136558547,15.8981688464726,15.998885277595,16.0751164562624,16.0463757820445,15.295267513371,15.5669693193495,16.622873207234,16.4602072314033,17.4634869039876,17.2214532640646,16.6347368347301,16.4341923361661,16.1157346013529,16.4590284865699,14.9892494920204,16.4593393462167,18.3247439243162,17.1996723621625,16.3483038912314,17.4560144182426,16.5357695692787,17.8118269827256,16.3207890448876,17.4582730700341,16.4409339473067,16.4446169755637,17.4769153405225,16.1911351336316,16.2100998564385,16.0102226606075,16.2153783925964,15.461644635281,16.3565941585633,16.513852989793,15.8579743612666,16.7922049230712,17.2975821593791,16.1061493870451,15.0879216533276,16.6736709946662,16.1465217493662,16.6474429636643,17.299279626459,16.4157824503923,16.0934930370103,15.5448673361461,17.730986897456,15.1482654331062,15.8379387273397,17.0193328870264,17.0596284315019,17.0412945875636,17.2687294666467,14.9186918340162,16.6689170342584,16.2483603374837,16.860124780816,22.7,14.888946425726,17.7714069400908,16.3552137471392,AXL66,III
l10,251,18.1271287563874,18.0499331493758,18.4346969655657,17.863555082764,18.0939028397685,18.3329355914605,18.1128887107446,17.7016645370118,17.0617578848927,16.9768691094781,18.0127163669083,16.6394750104773,17.9689087547918,19.2376835509442,19.4181827896942,17.8183437442434,17.5584649454219,17.7798360241076,18.4029333570582,17.5095147237023,17.603687794797,17.3166967630815,16.4738903129761,17.5461320773506,17.1491278314841,19.0418831585677,17.3644221449269,17.2975993904209,16.4228376811399,16.7130143004578,17.1922257088831,18.4139994005231,19.0027822998633,17.6666365046996,16.4286658125605,16.4547875149119,17.6180852276084,17.7290805740513,18.4751904613016,17.166564250044,19.0864234848875,15.3964304974509,18.5246614632344,18.5790851731428,19.313871087671,16.1336794031763,17.4277564235269,17.6909252375213,18.8433212663458,18.7509944701108,17.5516950590882,19.5121907487082,17.3225425297686,16.8731706218522,17.6369005420247,18.1464756702496,17.0935445917155,16.5190532863402,18.1684240819065,18.0647867651268,17.8226069539735,17.2674141040758,19.0155251592439,17.5605801418298,17.9171290292411,18.0719864420967,18.7074637251168,17.8980404606361,17.7764141733821,17.7614899566471,17.7686891907298,18.0079114076011,16.8144425967854,16.7909043012861,17.3366052448878,17.8494190718437,17.8354302610169,18.0498330043419,17.2771488691349,18.1446747049007,16.5421885208542,17.5257849309568,17.1416207415023,16.9548340388567,18.3856929922582,18.255147888213,18.0600964589537,17.0157689402809,16.6438925015675,18.4785841204417,18.1324058645486,17.050478418647,16.3790422709714,18.622191277237,17.1372154993534,18.5342951381103,18.7768894758268,19.2375814356952,17.2920111072805,18.4468618260661,16.6517454843581,25.1,16.4009399760557,19.2757773193076,17.7401254578123,AXL66,III
l11,287,18.821138548853,18.5499535034247,19.490195453293,18.5770867980591,17.1432712235535,19.2753990804054,17.2616976328067,18.6812771168714,18.7119024946941,17.7170406093976,17.3321546430191,18.2451793833389,17.6537116311139,17.9285750034864,17.1836413854181,18.794499238501,17.8685342804054,17.3127763415286,17.3496444338359,17.8542691539371,18.4068183324047,18.6883686018723,17.1115868728008,18.7886095279443,18.1151193888556,17.3686141756822,18.9308222285646,17.8818083943928,17.0283461370422,17.9136599893331,17.8741848532058,19.0870419921728,17.7091655876092,16.3384320401612,17.480652046349,17.4451514940685,17.2957483570856,16.5613112948009,18.1931595612237,18.2984334736774,17.9791594937309,18.6777652129302,18.7502651111475,16.9939968725672,19.0396576676442,19.0395652175119,18.7007073337561,19.8278988371101,17.6865595772361,18.0250392223077,17.9147142904374,18.6256449877713,17.9450877049198,18.5978455724632,19.7225503287905,19.019841806324,19.5990106189769,20.0427462966335,19.6977900786892,20.6851187605697,19.0932649917903,19.3412250574736,20.4035062863363,19.9149752281407,20.8611780072593,19.9141610310717,20.0754164620329,19.8359349610214,19.4041211922479,18.5856035672088,19.588528081764,18.9764373477649,20.8910816140017,19.6178097276791,20.2350436740284,19.771062765239,20.1599175701923,18.982464474211,20.4518667496584,19.7923371763004,19.5699489850394,19.6185518160939,19.9902785238282,19.2584059590497,18.9837233607528,17.2134085231797,19.6674970760599,18.1672214206862,17.3324657236048,18.1447165275545,18.5469740805667,18.8894103001093,18.8788450157883,18.2735496439567,19.0005125833724,18.1731060155653,19.111201308845,19.9323293368876,20.2114282233087,19.2870632263515,20.1774298776428,28.7,17.0111715048047,20.568492755114,18.7045935721819,AXL66,III
l12,299,19.4214629255327,21.2047533865143,19.887943301435,20.8089422858971,20.482298178984,20.5278392173994,20.3650513986281,19.4270604737209,21.1243951490837,20.2680049099571,21.1082403573297,20.9932786956565,19.5850955743411,19.4364784025622,19.380284223249,20.9366702966204,20.7001216967923,20.8867271426467,20.3484951702918,22.0310219417485,19.2937152267327,20.2307851472004,19.5596529077222,19.7731146741726,20.475188908394,20.9284334427402,20.3594132163344,20.2533221289277,19.2839372049181,21.2299853828637,19.3507708132906,19.2517224201576,18.7841348842058,20.9043836786349,19.9513429104878,20.0124227435455,20.7028774018787,21.3871003114714,20.5869394808862,20.8009724114826,21.1618930538638,21.7749769579815,20.0231476982369,20.6316936773925,19.3954046877814,19.682521706474,19.9829046985919,19.5987437298239,20.5527728477489,21.3351207692287,20.4462455143423,18.7617636510531,19.4333218237446,19.7423792920479,19.5769430360684,20.5559814283219,19.6038786070043,19.8039839311995,20.1277623044591,17.7610822388342,18.2886000093223,16.6198058843462,17.4200223808364,18.80214572978,17.6325679756541,17.4623589201991,18.2310749020788,16.796026717904,15.6296818697398,16.6071590848132,16.5613271979148,18.0164404790475,16.9819224401874,17.5805763048746,15.9007122742235,16.6835010340134,17.7099066618778,17.6331363233017,19.0880757006233,18.2673243916775,19.5715899295103,20.1187256031279,21.2770684700095,18.94556608637,19.7565909223183,21.8637568078011,19.6000793339643,19.9044794140226,21.7922802664952,20.9594240392561,21.3281087856715,20.0819685089346,21.407327557099,21.9389944621077,21.0303376613263,21.2506012849851,19.3594233745763,20.3798290364307,21.0315112459145,19.312980610054,20.2178219775961,29.9,16.584243141364,21.8280185371482,19.7132448845408,AXL66,III
l13,335,17.9187085946007,17.9526299385759,19.1714086393314,19.4935062040075,18.3182689132154,16.6670007677287,18.8606840021838,18.0350072039605,17.4358623116394,19.3408652515782,18.5314119696873,18.1410247358171,16.9276512379282,17.8638654279246,18.1382675859343,17.6621248756774,19.1179685261205,18.457720777428,17.5037690313441,17.830526928335,17.2160056776213,17.338587210087,19.6144225905363,18.3044737181369,18.4873366376044,18.883696423252,17.2026443561396,18.9188874640222,18.6293507691244,16.8931246044615,17.4371792527309,16.7220415862192,18.6956896763082,18.4818385220162,17.7840172283309,19.099935490873,18.6090279991651,18.3516229470519,17.0949677665484,16.0230368602203,17.3173708094107,17.4635999326315,17.5202186233825,16.6450768796537,18.449205120153,18.5610307149064,18.279219580023,18.3928844701715,18.2042479920973,17.6747508505878,18.4432456187125,18.2219345600998,18.8336417604463,16.7565925037278,17.6282400842205,17.6808760443738,18.0119513039657,18.0483903350781,18.1331692971892,17.9575167667485,17.20262608816,18.8354390347373,18.1037689887927,17.9508317152605,18.7978578071375,16.5164648342989,18.3770340204256,18.9156624213817,18.2759438404187,19.4771121014255,18.8940997342739,18.6674104980051,18.0803132989572,19.2838765736367,18.1690249622334,18.3009959340672,17.9983530867245,17.6123721324373,18.7457870964101,17.3453334640556,18.7528386332982,18.1927982963524,17.8706928122997,17.8304810801565,18.4145708406399,18.0667470351245,18.7889972093529,19.0115195921107,19.4082794752291,18.1611844409141,17.5470742438455,18.7978957985592,19.4162666187715,18.2491526381737,17.591625889208,18.2074038022395,18.1119024786824,18.7937151351169,18.3446463028471,19.801929066929,17.6424809232437,33.5,16.6560388236912,19.4853091527165,18.1577409197721,AXL66,III
